animal,type,zoo
Domestic goat,mammal,Chicago (Lincoln Park)
Domestic pig,mammal,Chicago (Lincoln Park)
Grant's gazelle,mammal,Chicago (Lincoln Park)
Jacob sheep,mammal,Chicago (Lincoln Park)
Klipspringer,mammal,Chicago (Lincoln Park)
Pygmy hippopotamus,mammal,Chicago (Lincoln Park)
Sichuan takin,mammal,Chicago (Lincoln Park)
Warthog,mammal,Chicago (Lincoln Park)
White-lipped deer,mammal,Chicago (Lincoln Park)
African lion,mammal,Chicago (Lincoln Park)
African wild dog,mammal,Chicago (Lincoln Park)
Amur leopard,mammal,Chicago (Lincoln Park)
Amur tiger,mammal,Chicago (Lincoln Park)
Andean bear,mammal,Chicago (Lincoln Park)
Asian small-clawed otter,mammal,Chicago (Lincoln Park)
Black bear,mammal,Chicago (Lincoln Park)
Dwarf mongoose,mammal,Chicago (Lincoln Park)
Fennec fox,mammal,Chicago (Lincoln Park)
Gray seal,mammal,Chicago (Lincoln Park)
Jaguar,mammal,Chicago (Lincoln Park)
Malayan sun bear,mammal,Chicago (Lincoln Park)
Meerkat,mammal,Chicago (Lincoln Park)
North American river otter,mammal,Chicago (Lincoln Park)
Pallas' cat,mammal,Chicago (Lincoln Park)
Polar bear,mammal,Chicago (Lincoln Park)
Puma,mammal,Chicago (Lincoln Park)
Red panda,mammal,Chicago (Lincoln Park)
Red wolf,mammal,Chicago (Lincoln Park)
Sand cat,mammal,Chicago (Lincoln Park)
Serval,mammal,Chicago (Lincoln Park)
Snow leopard,mammal,Chicago (Lincoln Park)
Egyptian fruit bat,mammal,Chicago (Lincoln Park)
Straw-colored fruit bat,mammal,Chicago (Lincoln Park)
La Plata three-banded armadillo,mammal,Chicago (Lincoln Park)
European rabbit,mammal,Chicago (Lincoln Park)
Brush-tailed bettong,mammal,Chicago (Lincoln Park)
Parma wallaby,mammal,Chicago (Lincoln Park)
Red kangaroo,mammal,Chicago (Lincoln Park)
Sugar glider,mammal,Chicago (Lincoln Park)
Eastern black rhinoceros,mammal,Chicago (Lincoln Park)
Grevy's zebra,mammal,Chicago (Lincoln Park)
Pony,mammal,Chicago (Lincoln Park)
Allen's swamp monkey,mammal,Chicago (Lincoln Park)
Black howler monkey,mammal,Chicago (Lincoln Park)
Black-and-white colobus,mammal,Chicago (Lincoln Park)
Bolivian gray titi monkey,mammal,Chicago (Lincoln Park)
Chimpanzee,mammal,Chicago (Lincoln Park)
Cotton-top tamarin,mammal,Chicago (Lincoln Park)
De Brazza's monkey,mammal,Chicago (Lincoln Park)
Francois' langur,mammal,Chicago (Lincoln Park)
Geoffrey's marmoset,mammal,Chicago (Lincoln Park)
Goeldi's monkey,mammal,Chicago (Lincoln Park)
Golden-headed lion tamarin,mammal,Chicago (Lincoln Park)
Pied tamarin,mammal,Chicago (Lincoln Park)
Pygmy slow loris,mammal,Chicago (Lincoln Park)
Western lowland gorilla,mammal,Chicago (Lincoln Park)
White-cheeked gibbon,mammal,Chicago (Lincoln Park)
White-faced saki monkey,mammal,Chicago (Lincoln Park)
American beaver,mammal,Chicago (Lincoln Park)
Bushy-tailed jird,mammal,Chicago (Lincoln Park)
Naked mole rat,mammal,Chicago (Lincoln Park)
Patagonian cavy,mammal,Chicago (Lincoln Park)
Prevost's squirrel,mammal,Chicago (Lincoln Park)
Aardvark,mammal,Chicago (Lincoln Park)
Dwarf caiman,amph/rep,Chicago (Lincoln Park)
Dwarf crocodile,amph/rep,Chicago (Lincoln Park)
