animal,type,zoo
Black swan,bird,San Antonio
Black-backed magpie,bird,San Antonio
Black-billed whistling duck,bird,San Antonio
Black-naped fruit dove,bird,San Antonio
Black-necked stilt,bird,San Antonio
Black-necked stork,bird,San Antonio
Black-necked swan,bird,San Antonio
Black-throated laughing thrush,bird,San Antonio
Blue-and-yellow macaw,bird,San Antonio
Blue-bellied roller,bird,San Antonio
Green woodhoopoe,bird,San Antonio
Blue-capped cordon-bleu,bird,San Antonio
Blue-grey tanager,bird,San Antonio
Strawberry finch,bird,San Antonio
Blue-naped mousebird,bird,San Antonio
Blue-streaked lory,bird,San Antonio
Blue-winged goose - Marbled teal - Hooded merganser,bird,San Antonio
Boat-billed heron,bird,San Antonio
Bourke's parrot,bird,San Antonio
Bush stone curlew,bird,San Antonio
Cattle egret,bird,San Antonio
Chestnut teal,bird,San Antonio
Chilean flamingo,bird,San Antonio
Common barn owl,bird,San Antonio
Common shama thrush,bird,San Antonio
Congo peacock,bird,San Antonio
Coscoroba swan,bird,San Antonio
Crested pigeon,bird,San Antonio
Crested screamer,bird,San Antonio
Crested wood partridge,bird,San Antonio
Crowned pigeon,bird,San Antonio
Demoiselle crane,bird,San Antonio
Double-barred finch,bird,San Antonio
Double-wattled cassowary,bird,San Antonio
Dusky lory,bird,San Antonio
Dusky-headed conure,bird,San Antonio
East African crowned crane,bird,San Antonio
Eastern rosella,bird,San Antonio
Eastern screech owl,bird,San Antonio
Eclectus parrot,bird,San Antonio
Edward's lorikeet,bird,San Antonio
Egyptian goose,bird,San Antonio
Egyptian plover,bird,San Antonio
Emerald starling,bird,San Antonio
Emerald toucanet,bird,San Antonio
Collared aracari,bird,San Antonio
Emu,bird,San Antonio
Eurasian eagle owl,bird,San Antonio
Forsten's lorikeet,bird,San Antonio
Fulvous whistling duck,bird,San Antonio
Gang-gang cockatoo,bird,San Antonio
Galah,bird,San Antonio
Giant kingfisher,bird,San Antonio
Gold coast turaco,bird,San Antonio
Guira cuckoo,bird,San Antonio
Golden conure,bird,San Antonio
Golden-breasted starling,bird,San Antonio
Violet-backed starling,bird,San Antonio
Gouldian finch,bird,San Antonio
Greater flamingo,bird,San Antonio
American flamingo,bird,San Antonio
Green aracari,bird,San Antonio
Green indigo bird,bird,San Antonio
Green junglefowl,bird,San Antonio
Madagascar partridge,bird,San Antonio
Green oropendola,bird,San Antonio
Green-naped lory,bird,San Antonio
Green-winged macaw,bird,San Antonio
Grey parrot,bird,San Antonio
Guam rail,bird,San Antonio
Banded rail,bird,San Antonio
Hammerkop,bird,San Antonio
Hill mynah,bird,San Antonio
Hooded crane,bird,San Antonio
Hooded pitta,bird,San Antonio
Hottentot teal,bird,San Antonio
Hyacinth macaw,bird,San Antonio
Inca tern,bird,San Antonio
Jardine's parrot,bird,San Antonio
Keel-billed toucan,bird,San Antonio
Laughing gull,bird,San Antonio
Lesser bird-of-paradise,bird,San Antonio
Lesser flamingo,bird,San Antonio
Lesser/Indian whistling duck,bird,San Antonio
Little blue heron,bird,San Antonio
Magpie goose,bird,San Antonio
Magpie shrike,bird,San Antonio
Maguari stork,bird,San Antonio
Malay great argus,bird,San Antonio
Malayan peacock pheasant,bird,San Antonio
Manchurian crane,bird,San Antonio
Marabou stork,bird,San Antonio
Metallic starling,bird,San Antonio
Wattled starling,bird,San Antonio
Moluccan radjah shelduck,bird,San Antonio
Musk lorikeet,bird,San Antonio
Ne-ne goose,bird,San Antonio
New Guinea masked plover,bird,San Antonio
Nicobar pigeon,bird,San Antonio
Green-winged dove,bird,San Antonio
Blue ground pigeon,bird,San Antonio
North American ruddy duck,bird,San Antonio
North American wood duck,bird,San Antonio
Obi violet-necked lory,bird,San Antonio
Ocellated turkey,bird,San Antonio
Ornate lory,bird,San Antonio
Ostrich,bird,San Antonio
Painted stork,bird,San Antonio
Palawan peacock pheasant,bird,San Antonio
Palm cockatoo,bird,San Antonio
Cockatiel,bird,San Antonio
Paradise whydah,bird,San Antonio
Orange-cheeked waxbill,bird,San Antonio
Peruvian thick-knee,bird,San Antonio
Pesquet's parrot,bird,San Antonio
Blue-throated conure,bird,San Antonio
Pied imperial pigeon,bird,San Antonio
Pintail,bird,San Antonio
Plumed whistling duck,bird,San Antonio
Purplish jay,bird,San Antonio
Rainbow lorikeet,bird,San Antonio
Razor-billed curassow,bird,San Antonio
Red bird-of-paradise,bird,San Antonio
Red bishop,bird,San Antonio
Red lory,bird,San Antonio
Red-and-yellow barbet,bird,San Antonio
Red-backed chattering lory,bird,San Antonio
Red-bellied parrot,bird,San Antonio
Red-billed whistling duck,bird,San Antonio
Red-capped cardinal,bird,San Antonio
Red-legged honeycreeper,bird,San Antonio
Red-crested finch,bird,San Antonio
Antillean euphonia,bird,San Antonio
Red-crested pochard,bird,San Antonio
Redhead,bird,San Antonio
Red-legged seriema,bird,San Antonio
Red-shouldered macaw,bird,San Antonio
Rhinoceros hornbill,bird,San Antonio
Ringed teal,bird,San Antonio
Ring-necked duck,bird,San Antonio
Rose-ringed parakeet,bird,San Antonio
Rosybill,bird,San Antonio
Rothschild's peacock pheasant,bird,San Antonio
Sacred ibis,bird,San Antonio
Salvin's pigeon,bird,San Antonio
Croaking ground dove,bird,San Antonio
Sandhill crane,bird,San Antonio
Scarlet ibis,bird,San Antonio
Scarlet macaw,bird,San Antonio
Secretary bird,bird,San Antonio
Snowy egret,bird,San Antonio
Speckled mousebird,bird,San Antonio
Speckled pigeon,bird,San Antonio
Spectacled owl,bird,San Antonio
Spur-winged lapwing,bird,San Antonio
Squatter pigeon,bird,San Antonio
Stanley crane,bird,San Antonio
Sun bittern,bird,San Antonio
Sun conure,bird,San Antonio
Superb starling,bird,San Antonio
Swenson's lorikeet,bird,San Antonio
Taveta golden weaver,bird,San Antonio
Tawny frogmouth,bird,San Antonio
Thick-billed parrot,bird,San Antonio
Vasa parrot,bird,San Antonio
Hawk-headed parrot,bird,San Antonio
Victoria crowned pigeon,bird,San Antonio
Violet-necked lory,bird,San Antonio
Vulturine guineafowl,bird,San Antonio
Wattled crane,bird,San Antonio
Wattled jacana,bird,San Antonio
West African crowned crane,bird,San Antonio
Western grey parrot,bird,San Antonio
Western Hartlaub's duck,bird,San Antonio
White stork,bird,San Antonio
White-bellied bustard,bird,San Antonio
Buff-crested bustard,bird,San Antonio
White-bellied caique,bird,San Antonio
Black-headed caique,bird,San Antonio
White-bellied stork,bird,San Antonio
White-crested laughing thrush,bird,San Antonio
White-crowned parrot,bird,San Antonio
White-crowned pigeon,bird,San Antonio
Mauritius pink pigeon,bird,San Antonio
White-faced scops owl,bird,San Antonio
White-faced whistling duck,bird,San Antonio
White-headed buffalo weaver,bird,San Antonio
White-naped crane,bird,San Antonio
White-naped raven,bird,San Antonio
Pied crow,bird,San Antonio
White-winged wood duck,bird,San Antonio
Whooping crane,bird,San Antonio
Woodland kingfisher,bird,San Antonio
Wreathed hornbill,bird,San Antonio
Yellow-backed chattering lory,bird,San Antonio
Yellow-breasted ground dove,bird,San Antonio
Diamond dove,bird,San Antonio
Yellow-collared macaw,bird,San Antonio
Yellow-headed amazon,bird,San Antonio
Yellow-naped amazon,bird,San Antonio
Zanzibar red bishop,bird,San Antonio
Zebra dove,bird,San Antonio
