berries
17
8
14
18
21
4
10
14
17
10
11
5
6
13
3
12
10
9
3
6
12
12
7
10
9
14
8
14
10
9
7
19
2
8
12
4
2
3
19
7
4
16
17
16
16
16
15
3
3
5
