# molt.txt
#
# date: start date of molt for wood thrush (days since July 1)
# duration: duration of molt (days)
#
date	duration
61	40
60	42
58	47
53	45
53	48
51	47
51	51
49	49
48	48
46	45
46	51
47	52
45	54
43	54
43	55
42	48
41	50
41	51
39	51
38	52
37	51
35	52
38	55
35	54
34	55
33	55
34	58
30	57
28	55
30	61
30	61
21	59
24	44
