CFU
165.61
202.85
190.38
137.4
194.77
174.76
154.69
187.27
149.17
165.02
170.24
177.6
170.48
208.82
112.55
179.19
144.75
188.68
139.67
148.98
173.4
168.81
176.53
151.37
171.78
