Day
F
Tu
Th
Tu
F
F
F
F
Sa
Sa
F
W
Su
W
Tu
Sa
W
Tu
Th
Tu
F
Tu
Th
F
F
M
F
Sa
Th
F
Tu
W
Su
Su
Tu
Su
W
W
Su
Sa
F
W
W
F
W
W
Sa
F
W
Th
Th
Th
Th
F
Tu
Th
W
F
M
M
F
F
Th
Tu
Sa
M
Tu
