Date,Source,Site ID,POC,Daily Mean Pb Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
5/31/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
6/12/2017,AQS,271377001,1,0,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
6/18/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
6/24/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
6/30/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
7/6/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
7/12/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
7/18/2017,AQS,271377001,1,0,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
7/24/2017,AQS,271377001,1,0.006,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
7/30/2017,AQS,271377001,1,0.003,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
8/5/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
8/11/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
8/17/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
8/23/2017,AQS,271377001,1,0,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
