# Batmorph.txt
#
# Originally from Dr. Andrew Taylor -- http://www2.hawaii.edu/~taylor/
# I put names in subspecies code and added a habitat variable (this is not actual habitats, though.  I
#   simply wanted a second categorical variable for analysis).
#
# subsp: subspecies names (Hawaiian = semotus, Mainland = cinereus)
# bodymass: total body mass (g) at time of collection
# skulllength: skull length (cm)
# canine: height (cm) of upper left canine tooth
# coronoid: height (cm) of left coronoid process
# wingspan: total wingspan (m)
# hab: habitat of capture (generically labeled as A, B,C)
#
subsp	bodymass	skulllength	canine	coronoid	wingspan	hab
semotus	19.5	1.597	0.326	0.303	0.358	A
semotus	16.22	1.552	0.308	0.282	0.358	A
semotus	16.98	1.563	0.291	0.292	0.359	A
semotus	16.47	1.564	0.287	0.303	0.353	A
semotus	14.29	1.531	0.301	0.279	0.351	A
semotus	15.34	1.585	0.305	0.284	0.361	A
semotus	15.29	1.559	0.277	0.286	0.351	A
semotus	22.62	1.601	0.313	0.281	0.363	A
semotus	19.55	1.586	0.289	0.278	0.34	B
semotus	18.76	1.561	0.293	0.28	0.365	B
semotus	15.23	1.56	0.301	0.289	0.351	B
semotus	17.57	1.585	0.302	0.277	0.352	B
semotus	19.33	1.577	0.322	0.3	0.353	B
semotus	17.5	1.569	0.293	0.289	0.354	B
semotus	18.35	1.54	0.314	0.282	0.347	B
semotus	16.77	1.563	0.301	0.297	0.346	B
semotus	20.12	1.618	0.337	0.308	0.355	B
semotus	17.14	1.54	0.309	0.289	0.35	B
semotus	14.62	1.508	0.295	0.272	0.364	B
semotus	19.3	1.59	0.318	0.288	0.343	B
semotus	16.58	1.581	0.303	0.301	0.349	B
semotus	15.02	1.555	0.294	0.28	0.34	B
semotus	18.09	1.557	0.283	0.282	0.337	B
semotus	18.67	1.615	0.299	0.3	0.341	B
semotus	19.04	1.568	0.29	0.286	0.351	B
semotus	17.72	1.581	0.301	0.299	0.342	A
semotus	16.79	1.566	0.314	0.281	0.347	A
semotus	18.56	1.593	0.334	0.29	0.341	A
semotus	18.3	1.597	0.323	0.287	0.344	C
semotus	15.86	1.579	0.333	0.291	0.349	C
semotus	18.99	1.578	0.304	0.294	0.342	C
semotus	14.6	1.536	0.289	0.278	0.343	C
semotus	16.7	1.57	0.302	0.283	0.353	C
semotus	19.15	1.599	0.318	0.29	0.363	C
semotus	18.56	1.582	0.309	0.288	0.353	C
semotus	17.36	1.586	0.325	0.288	0.351	C
semotus	17.24	1.551	0.305	0.29	0.352	C
semotus	21.34	1.548	0.266	0.29	0.343	C
semotus	15.49	1.546	0.308	0.281	0.342	C
semotus	14.04	1.533	0.293	0.28	0.36	C
semotus	15.31	1.533	0.269	0.281	0.34	C
semotus	16.78	1.575	0.305	0.29	0.356	C
semotus	18.12	1.589	0.312	0.293	0.354	C
semotus	21.64	1.602	0.327	0.287	0.357	C
semotus	17.18	1.588	0.325	0.3	0.341	C
semotus	17.72	1.555	0.304	0.281	0.34	C
semotus	16.04	1.542	0.291	0.284	0.352	C
semotus	19.75	1.591	0.314	0.298	0.351	C
semotus	18.98	1.595	0.313	0.291	0.356	C
semotus	19.02	1.611	0.323	0.282	0.348	C
semotus	18.65	1.592	0.317	0.292	0.34	C
semotus	21.21	1.648	0.342	0.298	0.347	C
semotus	19.94	1.579	0.324	0.3	0.359	C
semotus	18.61	1.596	0.309	0.304	0.358	C
semotus	19.15	1.597	0.327	0.301	0.365	C
cinereus	37.04	1.672	0.343	0.268	0.374	A
cinereus	35.42	1.671	0.348	0.273	0.369	A
cinereus	36.22	1.674	0.337	0.283	0.374	A
cinereus	38.82	1.676	0.339	0.28	0.387	A
cinereus	32.79	1.67	0.333	0.266	0.382	A
cinereus	35.37	1.649	0.336	0.27	0.396	A
cinereus	34.45	1.673	0.321	0.269	0.37	A
cinereus	29.69	1.647	0.305	0.267	0.358	A
cinereus	38.8	1.69	0.312	0.283	0.415	A
cinereus	33.13	1.69	0.361	0.268	0.363	A
cinereus	35.9	1.667	0.37	0.271	0.366	A
cinereus	34.05	1.673	0.337	0.268	0.387	A
cinereus	33.36	1.647	0.326	0.27	0.406	A
cinereus	39.6	1.663	0.342	0.283	0.37	A
cinereus	39.11	1.691	0.328	0.28	0.396	A
cinereus	31.64	1.669	0.344	0.276	0.364	A
cinereus	37.36	1.696	0.304	0.279	0.408	A
cinereus	38.09	1.644	0.343	0.258	0.393	A
cinereus	29.51	1.652	0.322	0.272	0.344	A
cinereus	36	1.678	0.331	0.257	0.381	A
cinereus	35.55	1.669	0.316	0.268	0.352	A
cinereus	30.75	1.653	0.308	0.281	0.388	A
cinereus	35.62	1.678	0.347	0.28	0.377	A
cinereus	41.07	1.678	0.318	0.282	0.404	B
cinereus	36.08	1.692	0.323	0.279	0.379	B
cinereus	35.79	1.672	0.35	0.283	0.409	B
cinereus	33.98	1.671	0.305	0.27	0.375	B
cinereus	34.94	1.677	0.351	0.271	0.366	B
cinereus	33.47	1.661	0.318	0.272	0.378	B
cinereus	29.9	1.65	0.316	0.268	0.37	B
cinereus	39.15	1.679	0.326	0.278	0.424	B
cinereus	34.42	1.66	0.33	0.27	0.374	B
cinereus	38.95	1.674	0.328	0.267	0.375	B
cinereus	35.44	1.654	0.324	0.27	0.365	B
cinereus	29.41	1.632	0.349	0.259	0.367	B
cinereus	34.27	1.669	0.323	0.27	0.372	B
cinereus	37.21	1.68	0.355	0.278	0.371	B
cinereus	31.96	1.682	0.318	0.275	0.401	B
cinereus	35.82	1.706	0.363	0.271	0.418	B
