# Batmorph.txt
#
# Originally from Dr. Andrew Taylor -- http://www2.hawaii.edu/~taylor/
# I put names in subspecies code and added a habitat variable (this is not actual habitats, though.  I
#   simply wanted a second categorical variable for analysis).
#
# subsp: subspecies names (Hawaiian = semotus, Mainland = cinereus)
# bodymass: total body mass (g) at time of collection
# skulllength: skull length (cm)
# canine: height (cm) of upper left canine tooth
# coronoid: height (cm) of left coronoid process
# wingspan: total wingspan (m)
# hab: habitat of capture (generically labeled as A, B,C)
#
subsp	bodymass	skulllength	canine	coronoid	wingspan	hab
cinereus	32.38	1.632	0.349	0.269	0.368	B
cinereus	31.24	1.66	0.347	0.271	0.365	B
cinereus	39.9	1.71	0.346	0.279	0.384	C
cinereus	34.44	1.67	0.363	0.272	0.374	C
cinereus	37.91	1.682	0.319	0.272	0.399	C
cinereus	35.57	1.657	0.347	0.268	0.365	C
cinereus	33.87	1.673	0.327	0.267	0.382	C
cinereus	41.65	1.734	0.345	0.276	0.419	C
cinereus	33.63	1.665	0.346	0.284	0.371	C
cinereus	37.54	1.683	0.333	0.269	0.413	C
cinereus	34.17	1.69	0.337	0.271	0.379	C
cinereus	39.1	1.672	0.332	0.268	0.465	C
cinereus	29.66	1.66	0.322	0.257	0.348	C
cinereus	28.32	1.662	0.334	0.27	0.384	C
cinereus	35.81	1.694	0.343	0.284	0.398	C
cinereus	32.86	1.684	0.349	0.27	0.391	C
cinereus	30.43	1.661	0.347	0.268	0.372	C
cinereus	37.5	1.694	0.342	0.266	0.395	C
cinereus	43.51	1.69	0.33	0.269	0.47	C
cinereus	37.13	1.669	0.326	0.27	0.4	C
cinereus	35.08	1.65	0.329	0.27	0.409	C
cinereus	36.58	1.7	0.339	0.292	0.391	C
cinereus	33.54	1.665	0.362	0.282	0.357	C
cinereus	33.04	1.672	0.314	0.28	0.429	C
