diameter,exposure
21,med
15,med
18,med
23,low
18,med
17,low
19,med
17,med
15,med
22,med
16,med
20,med
16,low
17,med
18,med
15,med
16,med
24,low
24,med
23,med
18,med
17,med
19,med
17,med
17,med
15,med
17,med
18,med
19,low
31,med
25,med
15,med
17,med
34,low
16,low
18,med
19,med
15,med
16,low
15,med
20,med
23,med
34,low
20,med
17,med
20,med
15,med
34,med
18,med
24,med
